count,pos,description,pos_type,word
1,,,"nn","Glasys"
7,,,"nnp","Joel"
1,,,"nn","developpmentsince"
1,,,"nn","well]"
1,,,"nn","Défavorisées"
3,,,"nn","ONE"
34,,,"nnp","Church"
9,,,"nn","M*si"
1,,,"nn","zÃ³n"
2,,,"nn","Lamare"
1,,,"nn","Trinité"
1,,,"nn","SUrin"
1,,,"nn","drainage"
62,,,"nnp","Louis"
1,,,"nn","muler"
5,,,"nn","Martine"
7,,,"nns","informations"
8,,,"nn","latibonit"
2,,,"nn","MERCREDI"
1,,,"nn","egliz"
1,,,"nns","Greene’s"
3,,,"nns","GLOVES"
2,,,"nn","miso"
1,,,"nn","Altitude"
1,,,"nn","malereusman"
1,,,"nns","enbas"
9,,,"nn","university"
2,,,"nn","fanel"
2,,,"nn","cluster"
1,,,"nn","Tigoav"
2,,,"nns","bquets"
1,,,"nn","Mirtyl"
22,,,"nn","DELMA"
2,,,"nnp","Sant"
2,,,"nn","That\"
6,,,"nn","Baranquilla"
1,,,"nn","[help]"
1,,,"nn","NURSE"
1,,,"nn","precisement"
2,,,"nn","enpotan"
1,,,"nn","ADASSA"
4,,,"nnp","Chez"
2,,,"nn","kenyen"
1,,,"nns","habites"
3,,,"nns","individuals"
6,,,"nn","Gina"
1,,,"nns","THINGS"
1,,,"nn","precizeman"
2,,,"nn","etude"
6,,,"nn","grangwav"
1,,,"nn","Getro"
1,,,"nn","Ministries&quot"
6,,,"nn","Koman"
52,,,"nns","streets"
3,,,"nn","blogspot"
1,,,"nnp","Brien"
1,,,"nn","ODETTE"
2,,,"nnp","Scale"
1,,,"nn","mayengwen"
1,,,"nn","miracle"
4,,,"nn","lalue"
2,,,"nn","lwi"
1,,,"nns","verrettes"
1,,,"nn","soupl*"
2,,,"nns","settlements"
1,,,"nn","autre"
1,,,"nn","j\&quot"
2,,,"nn","-rice"
1,,,"nn","zÃ²n"
1,,,"nn","tave"
1,,,"nn","Kareem"
1,,,"nn","JANVIE"
1,,,"nns","fires"
2,,,"nn","moya"
4,,,"nn","action"
6,,,"nn","ankonsekan"
1,,,"nn","Guitton"
2,,,"nn","Codada"
4,,,"nnp","SAN"
193,,,"nnp","Port-au-Prince"
1,,,"nn","relativesinHaiti"
2,,,"nn","Makem"
4,,,"nnp","Bank"
2,,,"nn","tte"
18,,,"nnp","House"
1,,,"nn","VRAIS"
1,,,"nn","Fraternit"
1,,,"nn","Tavin"
3,,,"nn","WE\"
1,,,"nns","foreigners"
2,,,"nn","gm"
6,,,"nn","oubyen"
1,,,"nn","ressource"
1,,,"nn","djine"
1,,,"nn","secourir"
2,,,"nn","peguy-ville"
2,,,"nn","Carl-Henry"
1,,,"nns","tap-taps"
2,,,"nns","channmas"
7,,,"nn","youn"
1,,,"nn","Fueille"
1,,,"nns","MAINS"
9,,,"nnp","Brown"
1,,,"nn","aletage"
4,,,"nn","Micheline"
19,,,"nn","translation"
8,,,"nns","distributions"
2,,,"nn","belloc"
1,,,"nn","Galette-Chambon"
1,,,"nn","Grigri"
2,,,"nn","paste"
16,,,"nn","both"
1,,,"nn","Kolekte&quot"
1,,,"nn","k-fouf"
2,,,"nn","FB"
6,,,"nn","there\"
3,,,"nn","PROL"
6,,,"nn","Quantity"
21,,,"nns","buildings"
1,,,"nn","silvya"
1,,,"nn","Neussl"
1,,,"nn","fabiana"
1,,,"nn","Crois-des-Bouquets"
5,,,"nn","SITE"
8,,,"nn","paloma"
1,,,"nn","taka"
1,,,"nn","midi"
3,,,"nn","Montagne"
10,,,"nn","Fabien"
1,,,"nn","Sant*"
